idade,sexo,cor_raca,anos_estudo,setor,regiao,rendimento_hora
40,M,Branca,12,Agricultura,Norte,8.15625
30,F,Branca,12,Servicos,Norte,18.75
39,M,Parda,12,Servicos,Norte,18.75
62,M,Parda,12,Servicos,Norte,31.25
27,M,Parda,12,Industria,Norte,8.15625
63,M,Parda,6,Industria,Norte,10.3125
31,F,Parda,12,Servicos,Norte,8.15625
27,M,Parda,12,Industria,Norte,10.625
30,M,Parda,12,Industria,Norte,18.75
19,M,Amarela,13,Servicos,Norte,8.15625
64,F,Parda,5,Servicos,Norte,18.75
23,M,Parda,14,Comercio,Norte,8.15625
30,M,Parda,5,Agricultura,Norte,5.0
50,M,Branca,4,Agricultura,Norte,5.0
52,M,Branca,2,Agricultura,Norte,5.0
30,M,Branca,11,Agricultura,Norte,9.375
33,M,Parda,10,Agricultura,Norte,7.5
34,M,Parda,9,Servicos,Norte,16.25
28,M,Parda,12,Agricultura,Norte,10.0
36,M,Branca,11,Industria,Norte,15.625
35,F,Parda,13,Servicos,Norte,1.25
49,M,Parda,4,Industria,Norte,8.75
44,F,Branca,13,Servicos,Norte,10.0
19,F,Branca,14,Servicos,Norte,10.0
50,M,Parda,5,Industria,Norte,12.5
54,F,Parda,8,Servicos,Norte,5.0
22,F,Branca,16,Construcao,Norte,9.375
18,M,Parda,12,Comercio,Norte,6.25
43,M,Parda,11,Industria,Norte,12.5
21,M,Branca,11,Comercio,Norte,21.875
74,M,Branca,3,Industria,Norte,3.125
44,F,Branca,12,Servicos,Norte,0.625
55,F,Parda,12,Comercio,Norte,3.125
61,M,Parda,1,Industria,Norte,9.375
30,F,Parda,0,Servicos,Norte,7.5
44,F,Parda,12,Servicos,Norte,14.375
36,M,Parda,12,Industria,Norte,18.75
37,F,Branca,12,Servicos,Norte,12.5
45,F,Parda,5,Servicos,Norte,7.575
35,M,Branca,5,Industria,Norte,7.575
34,F,Parda,12,Comercio,Norte,7.575
43,F,Parda,3,Servicos,Norte,8.75
22,F,Parda,6,Industria,Norte,8.4375
59,M,Branca,12,Industria,Norte,17.5
42,M,Parda,12,Construcao,Norte,17.5
22,M,Parda,11,Comercio,Norte,8.75
48,M,Branca,10,Industria,Norte,21.875
44,F,Parda,14,Servicos,Norte,15.625
44,M,Parda,13,Industria,Norte,15.625
50,M,Parda,0,Agricultura,Norte,10.3125
37,F,Parda,8,Industria,Norte,9.375
39,F,Branca,12,Servicos,Norte,7.575
31,F,Branca,4,Servicos,Norte,4.375
18,M,Parda,11,Industria,Norte,8.125
24,M,Parda,7,Industria,Norte,12.5
26,F,Parda,6,Servicos,Norte,8.125
31,M,Parda,12,Industria,Norte,21.875
29,F,Parda,15,Industria,Norte,7.575
29,F,Parda,16,Servicos,Norte,31.25
24,F,Parda,0,Servicos,Norte,15.0
44,M,Branca,6,Agricultura,Norte,10.0
43,F,Branca,12,Agricultura,Norte,23.2
48,F,Parda,8,Agricultura,Norte,2.8125
43,F,Parda,12,Industria,Norte,12.5
38,F,Branca,12,Industria,Norte,12.5
54,M,Branca,7,Industria,Norte,9.375
34,M,Branca,12,Servicos,Norte,13.75
55,F,Parda,16,Servicos,Norte,31.25
58,M,Branca,10,Agricultura,Norte,25.0
37,M,Preta,15,Comercio,Norte,31.25
36,M,Preta,6,Agricultura,Norte,10.0
45,F,Parda,12,Industria,Norte,12.5
48,M,Parda,12,Industria,Norte,25.0
33,F,Parda,16,Servicos,Norte,25.0
62,M,Branca,7,Agricultura,Norte,7.8125
66,M,Indigena,7,Agricultura,Norte,9.375
26,M,Parda,0,Agricultura,Norte,13.125
23,M,Parda,12,Agricultura,Norte,19.375
37,M,Branca,5,Agricultura,Norte,12.5
61,M,Parda,6,Agricultura,Norte,0.625
47,M,Preta,5,Agricultura,Norte,9.375
52,M,Parda,5,Industria,Norte,15.625
67,M,Branca,10,Agricultura,Norte,3.125
51,M,Branca,5,Agricultura,Norte,16.25
47,F,Branca,16,Servicos,Norte,25.0
65,M,Parda,5,Agricultura,Norte,12.5
57,M,Branca,2,Agricultura,Norte,28.125
57,M,Branca,9,Agricultura,Norte,25.0
50,M,Branca,7,Servicos,Norte,11.25
23,M,Parda,8,Servicos,Norte,12.5
58,F,Parda,13,Servicos,Norte,14.375
55,M,Parda,12,Agricultura,Norte,21.875
52,F,Parda,12,Agricultura,Norte,3.125
52,M,Parda,6,Agricultura,Norte,5.0
51,M,Branca,16,Agricultura,Norte,8.14375
47,M,Parda,16,Industria,Norte,15.625
48,F,Parda,12,Servicos,Norte,8.75
58,F,Branca,16,Servicos,Norte,21.875
48,F,Parda,12,Comercio,Norte,10.3125
37,F,Branca,16,Agricultura,Norte,14.375
51,M,Parda,16,Servicos,Norte,25.0
69,F,Branca,16,Servicos,Norte,19.0625
58,F,Parda,16,Servicos,Norte,15.625
39,M,Parda,9,Industria,Norte,7.5
36,M,Branca,12,Industria,Norte,7.5
41,M,Parda,4,Agricultura,Norte,10.625
36,M,Preta,6,Agricultura,Norte,7.575
43,M,Parda,6,Agricultura,Norte,11.25
39,F,Parda,7,Servicos,Norte,8.1375
19,F,Preta,12,Servicos,Norte,3.125
18,M,Parda,12,Agricultura,Norte,3.125
23,M,Branca,12,Agricultura,Norte,7.575
63,M,Parda,3,Agricultura,Norte,5.0
52,M,Branca,5,Agricultura,Norte,15.625
49,M,Parda,6,Agricultura,Norte,10.0
51,F,Parda,3,Servicos,Norte,3.75
46,M,Parda,5,Agricultura,Norte,10.0
47,F,Parda,4,Agricultura,Norte,15.625
49,M,Parda,4,Agricultura,Norte,15.625
25,M,Parda,11,Agricultura,Norte,5.625
68,F,Parda,1,Agricultura,Norte,6.25
56,M,Parda,5,Agricultura,Norte,18.75
55,M,Parda,16,Servicos,Norte,24.375
45,M,Parda,12,Agricultura,Norte,9.375
52,F,Parda,5,Agricultura,Norte,4.875
59,M,Branca,12,Agricultura,Norte,7.5
58,M,Branca,4,Agricultura,Norte,15.625
45,F,Parda,5,Agricultura,Norte,2.1875
50,F,Preta,0,Agricultura,Norte,6.25
42,M,Parda,5,Comercio,Norte,31.25
42,F,Parda,12,Servicos,Norte,8.1375
18,M,Parda,12,Agricultura,Norte,5.0
29,M,Parda,7,Agricultura,Norte,21.875
31,F,Parda,2,Agricultura,Norte,9.375
58,M,Parda,0,Agricultura,Norte,17.5
59,M,Preta,4,Agricultura,Norte,12.5
46,M,Parda,8,Agricultura,Norte,12.5
52,M,Parda,4,Agricultura,Norte,31.25
32,M,Parda,6,Agricultura,Norte,12.5
29,F,Indigena,10,Servicos,Norte,2.5
26,M,Branca,14,Agricultura,Norte,6.25
56,M,Preta,7,Agricultura,Norte,8.75
60,M,Branca,5,Agricultura,Norte,13.75
28,M,Branca,12,Industria,Norte,9.375
20,F,Parda,12,Industria,Norte,8.625
35,M,Parda,16,Servicos,Norte,25.0
28,F,Branca,16,Industria,Norte,25.0
29,M,Indigena,12,Industria,Norte,13.75
27,F,Branca,12,Servicos,Norte,18.75
53,F,Parda,12,Industria,Norte,5.0
58,M,Parda,9,Agricultura,Norte,15.625
56,M,Parda,12,Servicos,Norte,31.875
42,M,Parda,16,Servicos,Norte,31.25
61,M,Parda,0,Agricultura,Norte,18.75
38,F,Parda,16,Servicos,Norte,18.75
54,M,Parda,9,Industria,Norte,9.375
55,M,Parda,5,Agricultura,Norte,18.75
28,F,Parda,12,Comercio,Norte,8.75
18,M,Branca,11,Comercio,Norte,9.375
43,F,Parda,16,Servicos,Norte,18.75
30,M,Parda,10,Comercio,Norte,8.175
21,F,Parda,14,Servicos,Norte,9.375
29,M,Parda,13,Comercio,Norte,15.625
23,F,Parda,12,Comercio,Norte,8.125
55,F,Parda,12,Servicos,Norte,8.125
38,F,Branca,14,Servicos,Norte,28.125
58,F,Branca,16,Servicos,Norte,28.125
61,M,Parda,16,Servicos,Norte,25.0
33,M,Parda,9,Industria,Norte,8.15625
48,F,Parda,12,Servicos,Norte,8.15625
46,M,Parda,0,Industria,Norte,8.15625
20,F,Parda,12,Industria,Norte,8.15625
60,M,Preta,1,Industria,Norte,25.0
65,F,Preta,16,Servicos,Norte,31.25
37,F,Preta,16,Servicos,Norte,15.625
33,M,Preta,16,Servicos,Norte,18.75
38,M,Parda,9,Industria,Norte,8.15625
38,M,Parda,12,Construcao,Norte,18.75
63,M,Parda,5,Construcao,Norte,12.5
65,F,Branca,9,Servicos,Norte,18.75
47,M,Parda,12,Agricultura,Norte,8.15625
50,F,Branca,6,Servicos,Norte,7.5
34,M,Parda,8,Agricultura,Norte,9.375
23,F,Parda,12,Industria,Norte,8.14375
30,M,Parda,16,Servicos,Norte,18.75
30,M,Parda,9,Agricultura,Norte,15.625
53,M,Preta,12,Construcao,Norte,18.75
41,F,Parda,16,Servicos,Norte,9.375
26,M,Parda,12,Construcao,Norte,14.375
53,F,Parda,12,Servicos,Norte,9.6875
28,F,Parda,12,Industria,Norte,8.1375
63,F,Branca,4,Servicos,Norte,1.875
38,F,Amarela,12,Servicos,Norte,1.875
39,M,Preta,11,Servicos,Norte,9.375
19,M,Parda,10,Industria,Norte,7.575
18,F,Parda,11,Industria,Norte,8.20625
26,M,Parda,12,Industria,Norte,15.625
45,M,Parda,4,Agricultura,Norte,9.625
33,M,Parda,12,Agricultura,Norte,13.75
64,M,Parda,5,Agricultura,Norte,0.625
59,F,Branca,12,Agricultura,Norte,7.5
32,M,Preta,9,Agricultura,Norte,7.575
61,F,Parda,0,Agricultura,Norte,6.5625
53,M,Preta,6,Agricultura,Norte,12.5
26,M,Parda,7,Agricultura,Norte,7.5
46,M,Parda,9,Agricultura,Norte,13.75
41,F,Parda,12,Agricultura,Norte,9.375
38,M,Parda,5,Agricultura,Norte,15.0
44,M,Branca,8,Agricultura,Norte,18.75
41,M,Branca,5,Agricultura,Norte,25.0
35,M,Branca,12,Agricultura,Norte,23.5
61,F,Parda,12,Comercio,Norte,9.375
59,F,Branca,12,Agricultura,Norte,9.375
57,M,Parda,6,Servicos,Norte,10.625
27,F,Parda,16,Servicos,Norte,8.75
32,M,Parda,8,Servicos,Norte,1.5
42,M,Parda,12,Comercio,Norte,12.5
45,M,Parda,9,Agricultura,Norte,16.875
35,F,Parda,16,Servicos,Norte,25.0
41,F,Parda,12,Industria,Norte,11.25
33,M,Parda,11,Comercio,Norte,9.375
18,F,Parda,11,Agricultura,Norte,4.125
61,M,Parda,12,Comercio,Norte,18.75
53,M,Parda,11,Comercio,Norte,11.25
30,F,Parda,15,Industria,Norte,8.1375
44,F,Preta,6,Comercio,Norte,10.625
23,F,Parda,9,Servicos,Norte,0.75
50,F,Parda,11,Industria,Norte,7.575
43,F,Parda,9,Industria,Norte,8.125
24,M,Parda,11,Comercio,Norte,7.8125
33,F,Parda,0,Servicos,Norte,8.75
32,M,Preta,1,Industria,Norte,8.4375
33,F,Parda,9,Comercio,Norte,8.4375
51,M,Parda,12,Servicos,Norte,12.5
30,M,Preta,4,Servicos,Norte,7.8125
28,F,Parda,11,Industria,Norte,7.8125
59,M,Preta,5,Agricultura,Norte,12.5
37,F,Parda,9,Servicos,Norte,7.5
